Date_User,Latitude_User,Longitude_User,AccelerometerX_User,AccelerometerY_User,AccelerometerZ_User
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002625,-0.632767,-0.774521
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001999,-0.630142,-0.777740
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002686,-0.629913,-0.780716
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002731,-0.633392,-0.780441
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002029,-0.635651,-0.779114
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001968,-0.636276,-0.775497
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003189,-0.637756,-0.774918
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003510,-0.636841,-0.778519
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004837,-0.636154,-0.780075
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005936,-0.633957,-0.779404
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002319,-0.632446,-0.775574
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000854,-0.630249,-0.771713
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000824,-0.632645,-0.776459
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002426,-0.636093,-0.775803
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004761,-0.636459,-0.775467
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005188,-0.634171,-0.777039
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.006836,-0.634171,-0.780151
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003952,-0.635468,-0.778564
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000046,-0.634293,-0.774368
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000839,-0.632614,-0.771530
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001968,-0.632141,-0.777039
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005508,-0.634888,-0.785614
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.006012,-0.636719,-0.784760
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003204,-0.636261,-0.779282
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000504,-0.634552,-0.772964
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000427,-0.633606,-0.771698
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001099,-0.634460,-0.770325
